datetime,Open,High,Low,Close,Volume,symbol
2015-11-30,1.0583018064498901,1.0597037076950073,1.056400179862976,1.0583018064498901,0,EURUSD=X
2015-12-01,1.0572947263717651,1.0639996528625488,1.056602120399475,1.0572947263717651,0,EURUSD=X
2015-12-02,1.062699317932129,1.0639996528625488,1.0562005043029785,1.0625863075256348,0,EURUSD=X
2015-12-03,1.0611993074417114,1.0892000198364258,1.0541995763778687,1.0613007545471191,0,EURUSD=X
2015-12-04,1.0918341875076294,1.0951943397521973,1.0857999324798584,1.0915957689285278,0,EURUSD=X
2015-12-07,1.0883049964904785,1.0883049964904785,1.0798004865646362,1.0883997678756714,0,EURUSD=X
2015-12-08,1.0835996866226196,1.0900002717971802,1.0831419229507446,1.0834001302719116,0,EURUSD=X
2015-12-09,1.0895025730133057,1.099000096321106,1.0881984233856201,1.0893957614898682,0,EURUSD=X
2015-12-10,1.1016976833343506,1.1023049354553223,1.092799425125122,1.1017948389053345,0,EURUSD=X
2015-12-11,1.0947985649108887,1.1030004024505615,1.0928006172180176,1.0948106050491333,0,EURUSD=X
2015-12-14,1.098997712135315,1.1040000915527344,1.0947027206420898,1.0983941555023193,0,EURUSD=X
2015-12-15,1.0992271900177002,1.107000470161438,1.0922002792358398,1.0992997884750366,0,EURUSD=X
2015-12-16,1.0936013460159302,1.0958002805709839,1.0913218259811401,1.0936251878738403,0,EURUSD=X
2015-12-17,1.0874056816101074,1.0888975858688354,1.0833531618118286,1.087453007698059,0,EURUSD=X
2015-12-18,1.0843987464904785,1.0870002508163452,1.0805997848510742,1.0844104290008545,0,EURUSD=X
2015-12-21,1.0870156288146973,1.091999888420105,1.0852001905441284,1.0869920253753662,0,EURUSD=X
2015-12-22,1.091202735900879,1.0984002351760864,1.0905005931854248,1.09129798412323,0,EURUSD=X
2015-12-23,1.0950024127960205,1.095494270324707,1.0884946584701538,1.0950024127960205,0,EURUSD=X
